episode_frame,episode_time_sec,arm_A_action_j1,arm_A_action_j2,arm_A_action_j3,arm_A_action_j4,arm_A_action_j5,arm_A_action_j6,arm_B_command_j1,arm_B_command_j2,arm_B_command_j3,arm_B_command_j4,arm_B_command_j5,arm_B_command_j6,arm_C_actual_j1,arm_C_actual_j2,arm_C_actual_j3,arm_C_actual_j4,arm_C_actual_j5,arm_C_actual_j6,hand_A_action_j1,hand_A_action_j2,hand_A_action_j3,hand_A_action_j4,hand_A_action_j5,hand_A_action_j6,hand_B_target_j1,hand_B_target_j2,hand_B_target_j3,hand_B_target_j4,hand_B_target_j5,hand_B_target_j6,hand_C_actual_j1,hand_C_actual_j2,hand_C_actual_j3,hand_C_actual_j4,hand_C_actual_j5,hand_C_actual_j6,j6_hold_enabled,j6_action_deg,j6_effective_target_deg,j6_actual_deg
0,0.0,105.32763361981242,99.43991931704808,-9.016636821973766,26.04167663382959,-84.89343763114869,13.352896007082862,105.32763361981242,99.43991931704808,-9.016636821973766,26.04167663382959,-84.89343763114869,13.352896007082862,105.212884,99.472864,-9.060377,26.307635,-84.822928,13.453494,170.58787025989025,166.10676734417208,143.7360313037457,148.3766456696283,139.97536551962503,150.26494267504094,170.58787025989028,166.10676734417208,143.7360313037457,148.3766456696283,139.975365519625,179.8,170.3,165.8,144.4,148.9,134.9,179.8,True,150.26494267504094,179.8,179.8
1,0.03333333507180214,101.14796380011259,100.39160221476038,-10.71941009332306,39.371826216445754,-82.16077272305174,16.239973040967566,104.38698330067035,99.65409911116383,-9.399852312721869,29.04167663382959,-84.27844117717177,14.00264348725737,105.24048,99.465696,-9.050824,26.242905,-84.839791,13.429759,170.5929122884874,166.09353201910457,143.6527232403337,148.30279140983592,139.9604113211721,150.42806375931468,170.58900498727627,166.10378868478375,143.71728251261717,148.3600244923486,139.972000021355,179.8,170.3,165.8,144.4,148.9,134.9,179.8,True,150.42806375931468,179.8,179.8
2,0.06666667014360428,101.10625247262705,100.39125844008329,-10.742385700907803,39.3790454846644,-82.27249949310225,15.865602417629088,103.43488488702664,99.86802956277769,-9.789467912462467,32.04167663382959,-83.69629835736492,14.543291390196796,105.263904,99.459462,-9.042089,26.187298,-84.85418,13.409046,170.60414226127196,166.0847084690596,143.57588960000663,148.21421213470867,139.9353730655249,150.72307972802753,170.59339796412004,166.09825142980154,143.67624898232984,148.31770839826012,139.9613705401905,179.8,170.3,165.8,144.4,148.9,134.9,179.8,True,150.72307972802753,179.8,179.8
3,0.10000000149011612,101.09788728881814,100.37275190330058,-10.729837925194438,39.219877809177056,-82.37643403713898,15.830021738551462,102.45817879822215,100.07896918185232,-10.182478636080056,35.04167663382959,-83.14468481743285,15.08105718287495,105.285403,99.452917,-9.031444,26.136036,-84.867569,13.389843,170.61497116359996,166.06545708714316,143.50415528405625,148.09944868834398,139.86593058075502,150.88706024899398,170.6024140946043,166.08454562446514,143.6043255181904,148.22649068037316,139.9214831267129,179.8,170.3,165.8,143.6,148.3,134.9,179.8,True,150.88706024899398,179.8,179.8
4,0.13333334028720856,101.07685973773684,100.34278621061523,-10.694944795470972,39.081565797432475,-82.57015106767273,15.82738613269386,101.60337870065375,100.24222677264204,-10.499607484569234,37.54167663382959,-82.78914675283917,15.542907075034684,105.292462,99.449177,-9.025985,26.12561,-84.872403,13.383675,170.62459685455818,166.0463775925653,143.43505657396346,147.84843587829718,139.8354492260541,150.94687704280565,170.61614142662725,166.06092614484942,143.4995770106373,147.99253945871462,139.86824286616695,179.8,170.3,165.8,143.6,148.3,134.9,179.8,True,150.94687704280565,179.8,179.8
5,0.1666666716337204,101.03635162162108,100.3282903783984,-10.681251104167346,39.13106935093178,-82.69585800792441,15.698012262553322,101.03635162162108,100.3282903783984,-10.681251104167346,39.13106935093178,-82.69585800792441,15.698012262553322,105.258449,99.452294,-9.028442,26.258979,-84.851722,13.408955,170.630498319848,166.01778699858826,143.37311983630983,147.7875877604543,139.78858127841235,151.14792793311705,170.630498319848,166.0177869985883,143.37311983630985,147.7875877604543,139.78858127841235,179.8,170.3,165.8,143.6,148.3,134.9,179.8,True,151.14792793311705,179.8,179.8
6,0.20000000298023224,100.98151956062706,100.30932547537958,-10.655754482284024,39.26623009480314,-82.8455718797921,15.574310674584575,100.98151956062706,100.30932547537958,-10.655754482284024,39.26623009480314,-82.8455718797921,15.574310674584575,105.052764,99.494993,-9.087399,26.924088,-84.721671,13.543645,170.63147234809972,165.9437608514574,143.25841368572466,147.74541806673267,139.7117476380853,151.36949071249416,170.63147234809972,165.9437608514574,143.25841368572463,147.74541806673267,139.71174763808534,179.8,170.3,165.8,143.6,148.3,134.9,179.8,True,151.36949071249416,179.8,179.8
7,0.23333333432674408,100.94548051531333,100.28136513497721,-10.617996563584905,39.323525874316225,-82.98984265260604,15.615907410511074,100.94548051531333,100.28136513497721,-10.617996563584905,39.323525874316225,-82.98984265260604,15.615907410511074,104.693377,99.575715,-9.240526,28.055337,-84.498657,13.766121,170.630498319848,165.84039926521578,143.1929819055207,147.6623964822182,139.69375676331822,151.41297820914457,170.630498319848,165.84039926521578,143.1929819055207,147.66239648221818,139.69375676331822,179.8,170.3,165.8,143.6,148.3,134.9,179.8,True,151.41297820914457,179.8,179.8
8,0.2666666805744171,100.8998157790414,100.24607093479715,-10.574509066934473,39.445050222663475,-83.13588959458488,15.80091548255882,100.8998157790414,100.24607093479715,-10.574509066934473,39.445050222663475,-83.13588959458488,15.80091548255882,104.136326,99.699759,-9.476356,29.793917,-84.1675,14.100399,170.62150288246445,165.7533669761354,143.1334515906066,147.52780869614196,139.6323356876802,151.520121316834,170.62150288246443,165.7533669761354,143.1334515906066,147.52780869614196,139.6323356876802,179.8,170.3,166.0,143.6,148.2,134.9,179.8,True,151.520121316834,179.8,179.8
9,0.30000001192092896,100.84114490082003,100.22086079181139,-10.545173627823775,39.64289254932215,-83.23541236359911,15.983631723426038,100.84114490082003,100.22086079181139,-10.545173627823775,39.64289254932215,-83.23541236359911,15.983631723426038,103.399903,99.859645,-9.780152,32.04599,-83.766551,14.507742,170.59188096445618,165.68111699816944,143.091396488444,147.33094039773502,139.55321021617263,151.55942622158003,170.59188096445618,165.68111699816941,143.091396488444,147.33094039773502,139.55321021617263,179.8,170.3,166.0,143.6,148.2,134.9,179.8,True,151.55942622158003,179.8,179.8
