source,joint_index,joint_name,raw_unit,min,max,span,mean,std,p1,p50,p99,first,last,max_per_frame_step,constant_value_frame_ratio,actuator_serial_min,actuator_serial_max,actuator_serial_span,actuator_serial_first,actuator_serial_last,actuator_deg_min,actuator_deg_max,requested_norm_min,requested_norm_max,final_serial_min,final_serial_max,final_deg_min,final_deg_max
state,0,pinky,rad,1.532399,3.054326,1.521927,2.331386019230769,0.7072978987554934,1.532399,2.767219,3.054326,2.972296,1.563815,0.3595379999999999,0.9504132231404959,877.9999523006784,1749.9998905707469,871.9999382700685,1703.0001626361654,895.9999943925083,87.79999523006784,174.99998905707469,,,,,,
action,0,pinky,rad,1.396263,3.279562,1.8832989999999998,2.268479241758242,0.8525043986788275,1.396263,2.3770565,3.2785742300000003,2.97732,1.396263,0.12829800000000002,0.45179063360881544,799.9997699027487,1879.050612514833,1079.0508426120841,1705.8787025989027,799.9997699027487,79.99997699027486,187.9050612514833,0.04545433627522605,1.0264096477407572,900.0,1740.0,90.0,174.0
state,1,ring,rad,1.563815,3.043854,1.480039,2.2830056730769233,0.7022431649136851,1.563815,2.3509585,3.043854,2.905973,1.563815,0.33335800000000004,0.953168044077135,895.9999943925083,1743.999876540137,847.9998821476287,1664.9998827897036,895.9999943925083,89.59999943925082,174.3999876540137,,,,,,
action,1,ring,rad,1.396263,3.243944,1.847681,2.19577945054945,0.8437909920503107,1.396263,1.3983615,3.24329919,2.89911,1.396263,0.20920700000000014,0.42699724517906334,799.9997699027487,1858.643001767863,1058.6432318651146,1661.067673441721,799.9997699027487,79.99997699027486,185.86430017678632,0.04545433627522605,1.007857274334421,900.0,1740.0,90.0,174.0
state,2,middle,rad,1.579523,3.040364,1.4608409999999998,2.2294183763736264,0.6514490083056761,1.579523,2.2348939999999997,3.040364,2.534218,1.579523,0.3246310000000001,0.9228650137741047,905.0000154384234,1742.0002538351303,837.0002383967069,1451.9999576608445,905.0000154384234,90.50000154384233,174.20002538351304,,,,,,
action,2,middle,rad,1.396263,3.316126,1.919863,2.144512769230769,0.8068295811128506,1.396263,1.396263,3.316126,2.508667,1.396263,0.250645,0.5619834710743802,799.9997699027487,1900.0002413359964,1100.0004714332476,1437.360313037457,799.9997699027487,79.99997699027486,190.00002413359965,0.04545433627522605,1.0454547648509058,900.0,1740.0,90.0,174.0
state,3,index,rad,1.567306,3.045599,1.478293,2.2473226016483516,0.6669282943411451,1.567306,2.3849925,3.045599,2.595304,1.567306,0.31765,0.9228650137741047,898.0001900553101,1744.9996878926402,846.9994978373301,1486.999657534206,898.0001900553101,89.80001900553101,174.49996878926402,,,,,,
action,3,index,rad,1.396263,3.316126,1.919863,2.164266618131868,0.8216612410293321,1.396263,1.396862,3.316126,2.589661,1.396263,0.25127200000000016,0.5399449035812672,799.9997699027487,1900.0002413359964,1100.0004714332476,1483.7664566962828,799.9997699027487,79.99997699027486,190.00002413359965,0.04545433627522605,1.0454547648509058,900.0,1740.0,90.0,174.0
state,4,thumb_bend,rad,2.354449,2.354449,0.0,2.3544489999999993,4.440892098500626e-16,2.354449,2.354449,2.354449,2.354449,2.354449,0.0,1.0,1348.9999077879716,1348.9999077879716,0.0,1348.9999077879716,1348.9999077879716,134.89999077879716,134.89999077879716,,,,,,
action,4,thumb_bend,rad,2.364084,2.55009,0.1860059999999999,2.4617196263736267,0.04313549899066417,2.36955054,2.462863,2.5400201800000004,2.443031,2.460904,0.0337679999999998,0.0,1354.5203561440571,1461.093943785161,106.57358764110381,1399.75365519625,1409.9941298686235,135.4520356144057,146.1093943785161,0.6363008903601428,0.9027348594629023,1350.0,1350.0,135.0,135.0
state,5,thumb_rotation,rad,1.630138,2.886775,1.256637,2.043761425824176,0.30744144134516554,1.630138,2.024582,2.886775,2.588323,2.886775,0.47123899999999996,0.8677685950413223,934.00027423897,1654.0002390387822,719.9999647998122,1482.9998391663978,1654.0002390387822,93.400027423897,165.4000239038782,,,,,,
action,5,thumb_rotation,rad,1.658063,3.027008,1.3689449999999999,2.04197489010989,0.3260900406191247,1.658063,2.0217395,2.96558389,2.622618,3.027008,0.2366410000000001,0.19834710743801653,950.0001206679982,1734.3478295233629,784.3477088553647,1502.6494267504095,1734.3478295233629,95.00001206679983,173.4347829523363,0.1743707057648812,0.9999998729810545,950.0001206679982,1734.3478295233629,95.00001206679983,173.4347829523363
